"","X","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq","Index.1","Index.Correct","time","time.2"
"238",18366,10411,"30.06.04",1,2004,2,"2004Q2","2004Q2",1959.552,10487.619,1381.445,57.222,436.091,3681.868,37.338,1018.165,6863.304,269.047,3368.863,929.086,3133.518,1329.399,48.422,71.2,"A-",4812,4812,568.2,"http://www.sec.gov/Archives/edgar/data/1051512/0001051512-04-000027.txt",1051512,"10-Q","TELEPHONE & DATA SYSTEMS INC /DE/","30.06.04","05.08.04",2004,10411,"30.06.04",2004,2,"INDL","USD","2004Q2","2004Q2",69,40.367,325.115,20.44,"A",0.165,"http://www.sec.gov/Archives/edgar/data/1051512/0001051512-04-000027","http://www.sec.gov/Archives/edgar/data/1051512/0001051512-04-000027-index.htm","2004-08-05 15:00:27","15:00:27"
"239",18371,10411,"30.09.05",1,2005,3,"2005Q3","2005Q3",1685.143,10412.115,1084.54,115.488,202.727,3372.147,38.275,836.675,6558.451,273.728,3362.701,1027.947,3306.125,1417.552,53.852,39,"A-",4812,4812,595.4,"http://www.sec.gov/Archives/edgar/data/1051512/0001104659-06-027797.txt",1051512,"10-Q","TELEPHONE & DATA SYSTEMS INC /DE/","30.09.05","26.04.06",2005,10411,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",NA,125.66,470.714,0,"A",0.0875,"http://www.sec.gov/Archives/edgar/data/1051512/0001104659-06-027797","http://www.sec.gov/Archives/edgar/data/1051512/0001104659-06-027797-index.htm","2006-04-26 12:52:43","12:52:43"
"240",18430,10439,"29.02.04",1,2003,4,"2004Q1","2003Q4",32.459,74.727,0.543,24.911,4.7,55.473,-0.261,12.763,68.607,1.189,0.848,30.335,6.12,0,1.093,0.64,"",7363,7363,557.9,"http://www.sec.gov/Archives/edgar/data/720480/0001144204-04-007792.txt",720480,"10-K","ATC HEALTHCARE INC /DE/","29.02.04","28.05.04",2004,10439,"29.02.04",2003,4,"INDL","USD","2004Q1","2003Q4",NA,-0.13,0.238,0,"I",0,"http://www.sec.gov/Archives/edgar/data/720480/0001144204-04-007792","http://www.sec.gov/Archives/edgar/data/720480/0001144204-04-007792-index.htm","2004-05-28 16:45:10","16:45:10"
"241",18443,10439,"31.05.07",1,2007,1,"2007Q2","2007Q1",20.802,28.333,0.524,46.663,13.729,1.45,-0.14,20.795,22.287,0.464,0.329,24.824,6.046,0,0.556,0.34,"",NA,7363,622.921,"http://www.sec.gov/Archives/edgar/data/720480/0001157523-07-006870.txt",720480,"10-Q","ATC HEALTHCARE INC /DE/","31.05.07","16.07.07",2007,10439,"31.05.07",2007,1,"INDL","USD","2007Q2","2007Q1",NA,0,0.014,0,"I",0,"http://www.sec.gov/Archives/edgar/data/720480/0001157523-07-006870","http://www.sec.gov/Archives/edgar/data/720480/0001157523-07-006870-index.htm","2007-07-16 16:29:46","16:29:46"
"242",18638,10532,"31.03.05",1,2004,4,"2005Q1","2004Q4",6.53,16.997,0,19.769,5.282,4.981,-0.419,10.545,15.526,0.631,9.978,4.06,1.471,0,0.102,0.4,"",3490,6510,579,"http://www.sec.gov/Archives/edgar/data/351902/0001177497-05-000115.txt",351902,"10KSB","THERMODYNETICS INC","31.03.05","29.07.05",2005,10532,"31.03.05",2004,4,"INDL","USD","2005Q1","2004Q4",NA,0,1.019,0,"A",0,"http://www.sec.gov/Archives/edgar/data/351902/0001177497-05-000115","http://www.sec.gov/Archives/edgar/data/351902/0001177497-05-000115-index.htm","2005-07-28 18:12:43","18:12:43"
"243",18727,10565,"30.06.05",1,2005,1,"2005Q2","2005Q1",251.266,2257.429,15.143,57.53,0,395,28.86,85.57,793.232,62.108,1468.622,192.167,1464.197,195.458,4.462,38.12,"",4400,4400,582.6,"http://www.sec.gov/Archives/edgar/data/98222/0001193125-05-148608.txt",98222,"10-Q","TIDEWATER INC","30.06.05","26.07.05",2005,10565,"30.06.05",2005,1,"INDL","USD","2005Q2","2005Q1",NA,0,43.874,0,"A",0.15,"http://www.sec.gov/Archives/edgar/data/98222/0001193125-05-148608","http://www.sec.gov/Archives/edgar/data/98222/0001193125-05-148608-index.htm","2005-07-26 09:31:38","09:31:38"
"244",18747,10567,"30.06.06",1,2006,2,"2006Q2","2006Q2",257.028,3435.465,83.37,94.34,199.674,2126.142,-39.086,486.229,2671.733,81.469,1898.984,325.002,697.731,13.225,50.931,5.62,"B-",7996,7996,607.8,"http://www.sec.gov/Archives/edgar/data/701374/0001104659-06-053004.txt",701374,"10-Q","SIX FLAGS INC","30.06.06","09.08.06",2006,10567,"30.06.06",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,89.745,0,"A",0,"http://www.sec.gov/Archives/edgar/data/701374/0001104659-06-053004","http://www.sec.gov/Archives/edgar/data/701374/0001104659-06-053004-index.htm","2006-08-09 14:19:11","14:19:11"
"245",18847,10615,"31.03.07",1,2007,1,"2007Q1","2007Q1",78.473,385.793,36.102,18.96,0,121.25,-9.326,56.595,197.661,-9.659,284.533,6.821,188.132,13.44,2.296,18.15,"",1311,1311,615.145,"http://www.sec.gov/Archives/edgar/data/98720/0000950134-07-011088.txt",98720,"10-Q","TOREADOR RESOURCES CORP","31.03.07","10.05.07",2007,10615,"31.03.07",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,21.945,0,"I",0,"http://www.sec.gov/Archives/edgar/data/98720/0000950134-07-011088","http://www.sec.gov/Archives/edgar/data/98720/0000950134-07-011088-index.htm","2007-05-10 15:54:24","15:54:24"
"246",18921,10658,"31.12.05",1,2005,4,"2005Q4","2005Q4",28.011,100.55,14.041,1.26,14.145,48.365,-0.981,23.952,78.154,2.138,64.706,13.899,22.396,2.978,1.109,5.68,"",3990,3990,589.4,"http://www.sec.gov/Archives/edgar/data/99106/0000099106-06-000011.txt",99106,"10-K","TRANS LUX CORP","31.12.05","17.04.06",2005,10658,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",0,0,6.809,0.003,"A",0.035,"http://www.sec.gov/Archives/edgar/data/99106/0000099106-06-000011","http://www.sec.gov/Archives/edgar/data/99106/0000099106-06-000011-index.htm","2006-04-14 17:45:36","17:45:36"
"247",18934,10676,"31.12.04",1,2004,4,"2004Q4","2004Q4",24.527,26.12,0,11.618,5.513,2.89,-0.825,19.382,22.272,0.774,0.546,39.614,3.593,0,0.135,1.01,"",4213,4213,570.1,"http://www.sec.gov/Archives/edgar/data/351498/0000351498-05-000004.txt",351498,"10-K","US 1 INDUSTRIES INC","31.12.04","24.03.05",2004,10676,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,0.15,0,"I",0,"http://www.sec.gov/Archives/edgar/data/351498/0000351498-05-000004","http://www.sec.gov/Archives/edgar/data/351498/0000351498-05-000004-index.htm","2005-03-24 11:43:33","11:43:33"
"248",18949,10685,"30.06.04",1,2004,1,"2004Q2","2004Q1",11.142,16.117,0.097,6.238,6.014,0.106,-0.427,11.194,13.059,0.083,2.121,13.222,3.058,0,0.072,3,"",3825,5084,568.2,"http://www.sec.gov/Archives/edgar/data/99302/0000950152-04-005918.txt",99302,"10-Q","TRANSCAT INC","26.06.04","05.08.04",2004,10685,"30.06.04",2004,1,"INDL","USD","2004Q2","2004Q1",NA,0,0.183,0,"A",0,"http://www.sec.gov/Archives/edgar/data/99302/0000950152-04-005918","http://www.sec.gov/Archives/edgar/data/99302/0000950152-04-005918-index.htm","2004-08-05 14:33:30","14:33:30"
"249",18994,10692,"30.09.07",1,2007,2,"2007Q3","2007Q2",44.394,79.713,0.264,9.327,7.271,31.218,0.801,20.75,61.265,2.879,4.716,17.24,18.448,0,0.892,11.83,"",3537,3537,624.543,"http://www.sec.gov/Archives/edgar/data/99359/0000950123-07-015044.txt",99359,"10-Q","BREEZE-EASTERN CORP","30.09.07","07.11.07",2007,10692,"30.09.07",2007,2,"INDL","USD","2007Q3","2007Q2",NA,0,0.232,0,"I",0,"http://www.sec.gov/Archives/edgar/data/99359/0000950123-07-015044","http://www.sec.gov/Archives/edgar/data/99359/0000950123-07-015044-index.htm","2007-11-07 15:57:13","15:57:13"
"250",19010,10726,"30.06.07",1,2007,2,"2007Q2","2007Q2",1272.618,13285.095,261.57,118.391,398.304,2578.515,36.056,1610.656,13077.767,306.586,1597.385,1302.888,207.328,0,115.905,29.4,"BB-",2711,4833,624.129,"http://www.sec.gov/Archives/edgar/data/726513/0000726513-07-000045.txt",726513,"10-Q","TRIBUNE CO","01.07.07","09.08.07",2007,10726,"30.06.07",2007,2,"INDL","USD","2007Q2","2007Q2",34.04,NA,52.224,4289.192,"A",0,"http://www.sec.gov/Archives/edgar/data/726513/0000726513-07-000045","http://www.sec.gov/Archives/edgar/data/726513/0000726513-07-000045-index.htm","2007-08-09 15:29:46","15:29:46"
"251",19130,10793,"30.06.06",1,2006,3,"2006Q2","2006Q3",4221,11246,804,355,1049,3063,-52,2917,6736,103,4040,6383,4510,589,74,14.86,"BBB",2011,2011,607.8,"http://www.sec.gov/Archives/edgar/data/100493/0000100493-06-000068.txt",100493,"10-Q","TYSON FOODS INC","01.07.06","10.08.06",2006,10793,"30.06.06",2006,3,"INDL","USD","2006Q2","2006Q3",14.82,0,470,30,"A",0.04,"http://www.sec.gov/Archives/edgar/data/100493/0000100493-06-000068","http://www.sec.gov/Archives/edgar/data/100493/0000100493-06-000068-index.htm","2006-08-10 16:35:16","16:35:16"
"252",19140,10795,"31.12.04",1,2004,4,"2004Q4","2004Q4",3914,20705,2178,116.221,903,301,-741,6461,28385,-310,14714,3988,-7680,389,112,1.3,"D",4512,4512,570.1,"http://www.sec.gov/Archives/edgar/data/100517/0000100517-05-000006.txt",100517,"10-K","UAL CORP /DE/","31.12.04","16.03.05",2004,10795,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,267,0,"A",0,"http://www.sec.gov/Archives/edgar/data/100517/0000100517-05-000006","http://www.sec.gov/Archives/edgar/data/100517/0000100517-05-000006-index.htm","2005-03-16 15:54:04","15:54:04"
"253",19219,10839,"30.06.04",1,2004,4,"2004Q2","2004Q4",331.059,872.535,65.221,52.115,8.497,258.966,-6.485,130.374,466.074,NA,355.458,174.774,401.901,71.921,4.431,2.93,"B+",2200,2200,568.2,"http://www.sec.gov/Archives/edgar/data/100726/0000950144-04-009181.txt",100726,"10-K","UNIFI INC","27.06.04","17.09.04",2004,10839,"30.06.04",2004,4,"INDL","USD","2004Q2","2004Q4",0,0,12.114,8.38,"A",0,"http://www.sec.gov/Archives/edgar/data/100726/0000950144-04-009181","http://www.sec.gov/Archives/edgar/data/100726/0000950144-04-009181-index.htm","2004-09-17 16:58:51","16:58:51"
"254",19226,10839,"31.03.06",1,2006,3,"2006Q1","2006Q3",337.403,795.157,88.423,52.18,NA,NA,-1.327,98.275,407.11,14.817,252.038,181.257,388.047,47.934,4.606,3.34,"CCC+",2200,2200,598.6,"http://www.sec.gov/Archives/edgar/data/100726/0000950144-06-004129.txt",100726,"10-Q","UNIFI INC","26.03.06","28.04.06",2006,10839,"31.03.06",2006,3,"INDL","USD","2006Q1","2006Q3",0,0,9.767,0,"A",0,"http://www.sec.gov/Archives/edgar/data/100726/0000950144-06-004129","http://www.sec.gov/Archives/edgar/data/100726/0000950144-06-004129-index.htm","2006-04-28 17:01:00","17:01:00"
"255",19271,10860,"31.12.07",1,2007,4,"2007Q4","2007Q4",2480,20728,355,208.3,1693,5707,118,2902,13759,425,15069,1812,6947,2155,107,54.21,"BBB-",4911,4931,629.174,"http://www.sec.gov/Archives/edgar/data/1002910/0000950137-08-003079.txt",1002910,"10-K","AMEREN CORP","31.12.07","29.02.08",2007,10860,"31.12.07",2007,4,"INDL","USD","2007Q4","2007Q4",54.09,0,1449,0,"A",0.635,"http://www.sec.gov/Archives/edgar/data/1002910/0000950137-08-003079","http://www.sec.gov/Archives/edgar/data/1002910/0000950137-08-003079-index.htm","2008-02-29 15:18:41","15:18:41"
"256",19316,10884,"30.06.06",1,2006,2,"2006Q2","2006Q2",928.301,2855.541,91.512,42.103,31.914,959.815,22.868,585.572,1819.426,63.428,578.895,1228.676,1036.115,114.53,20.545,13.78,"B+",100,100,607.8,"http://www.sec.gov/Archives/edgar/data/101063/0001193125-06-161871.txt",101063,"10-Q","CHIQUITA BRANDS INTERNATIONAL INC","30.06.06","04.08.06",2006,10884,"30.06.06",2006,2,"INDL","USD","2006Q2","2006Q2",NA,6.464,25.859,0,"I",0.1,"http://www.sec.gov/Archives/edgar/data/101063/0001193125-06-161871","http://www.sec.gov/Archives/edgar/data/101063/0001193125-06-161871-index.htm","2006-08-04 10:06:16","10:06:16"
"257",19581,11017,"31.12.05",1,2005,3,"2005Q4","2005Q3",1849.496,2959.38,30.619,25.715,624.28,771.75,-0.349,1149.502,2118.713,NA,603.465,475.729,808.207,34.771,16.966,43.36,"BBB+",5150,5150,589.4,"http://www.sec.gov/Archives/edgar/data/102037/0001193125-06-025073.txt",102037,"10-Q","UNIVERSAL CORP /VA/","31.12.05","09.02.06",2005,11017,"31.12.05",2005,3,"INDL","USD","2005Q4","2005Q3",NA,14.339,60.933,0,"A",0.42,"http://www.sec.gov/Archives/edgar/data/102037/0001193125-06-025073","http://www.sec.gov/Archives/edgar/data/102037/0001193125-06-025073-index.htm","2006-02-09 14:41:16","14:41:16"
"258",19649,11056,"30.06.04",1,2004,2,"2004Q2","2004Q2",3045.7,6644,1964.5,195.674,421.8,2206.8,-167.8,1785.3,5422,-81.9,2754.5,508.2,1222,270.2,105.1,3.56,"CCC+",4931,4931,568.2,"http://www.sec.gov/Archives/edgar/data/66960/0001047469-04-025340.txt",66960,"10-Q","AQUILA  INC","30.06.04","04.08.04",2004,11056,"30.06.04",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,128,0,"I",0,"http://www.sec.gov/Archives/edgar/data/66960/0001047469-04-025340","http://www.sec.gov/Archives/edgar/data/66960/0001047469-04-025340-index.htm","2004-08-04 17:23:29","17:23:29"
"259",19798,11147,"31.12.04",1,2004,4,"2004Q4","2004Q4",100.505,266.505,4.134,16.826,40,0,-1.87,66.055,100.013,0.083,158.48,68.044,166.492,30.541,0.76,5.62,"",2221,2221,570.1,"http://www.sec.gov/Archives/edgar/data/103341/0000950117-05-000999.txt",103341,"10-K","QUAKER FABRIC CORP /DE/","01.01.05","17.03.05",2004,11147,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,14.891,0,"I",0,"http://www.sec.gov/Archives/edgar/data/103341/0000950117-05-000999","http://www.sec.gov/Archives/edgar/data/103341/0000950117-05-000999-index.htm","2005-03-17 15:16:19","15:16:19"
"260",19831,11169,"30.11.05",1,2005,3,"2005Q4","2005Q3",53.544,67.373,1.819,9.694,0.181,25.586,0.255,10.705,36.756,1.247,8.679,19.676,30.494,0.465,0.353,13.56,"",3670,3670,592,"http://www.sec.gov/Archives/edgar/data/758743/0001104659-06-004702.txt",758743,"10-Q","VIDEO DISPLAY CORP","30.11.05","30.01.06",2005,11169,"30.11.05",2005,3,"INDL","USD","2005Q4","2005Q3",0,1.377,1.427,0.317,"A",0,"http://www.sec.gov/Archives/edgar/data/758743/0001104659-06-004702","http://www.sec.gov/Archives/edgar/data/758743/0001104659-06-004702-index.htm","2006-01-30 15:15:30","15:15:30"
"261",19925,11213,"31.01.06",1,2006,1,"2005Q4","2006Q1",507.484,678.614,73.388,15.379,45.813,13.183,-0.377,355.243,382.751,9.581,83.387,549.508,295.863,12.858,0.456,24.48,"",7363,7363,593.9,"http://www.sec.gov/Archives/edgar/data/103872/0001157523-06-002552.txt",103872,"10-Q","VOLT INFORMATION SCIENCES, INC.","29.01.06","10.03.06",2006,11213,"31.01.06",2006,1,"INDL","USD","2005Q4","2006Q1",NA,46.753,6.47,0,"A",0,"http://www.sec.gov/Archives/edgar/data/103872/0001157523-06-002552","http://www.sec.gov/Archives/edgar/data/103872/0001157523-06-002552-index.htm","2006-03-10 14:50:31","14:50:31"
"262",19932,11213,"31.10.07",1,2007,4,"2007Q3","2007Q4",598.125,840.151,71.504,22.431,84.621,12.316,19.194,457.231,487.572,59.566,74.709,604.868,352.536,18.025,2.123,15.55,"",7363,7363,625.879,"http://www.sec.gov/Archives/edgar/data/103872/0001157523-08-000236.txt",103872,"10-K","VOLT INFORMATION SCIENCES, INC.","28.10.07","11.01.08",2007,11213,"31.10.07",2007,4,"INDL","USD","2007Q3","2007Q4",NA,71.401,31.406,22.979,"A",0,"http://www.sec.gov/Archives/edgar/data/103872/0001157523-08-000236","http://www.sec.gov/Archives/edgar/data/103872/0001157523-08-000236-index.htm","2008-01-11 11:52:39","11:52:39"
"263",20020,11286,"30.09.04",1,2004,3,"2004Q3","2004Q3",1.619,3.95,0.389,15.723,0.154,2.241,-0.35,2.063,4.304,-0.285,0.144,1.64,-0.354,0,0.05,0.32,"",7372,7372,568.7,"http://www.sec.gov/Archives/edgar/data/737300/0001188112-04-001775.txt",737300,"10-Q","COVER ALL TECHNOLOGIES INC","30.09.04","15.11.04",2004,11286,"30.09.04",2004,3,"INDL","USD","2004Q3","2004Q3",NA,0,0.073,0,"I",0,"http://www.sec.gov/Archives/edgar/data/737300/0001188112-04-001775","http://www.sec.gov/Archives/edgar/data/737300/0001188112-04-001775-index.htm","2004-11-15 12:22:26","12:22:26"
"264",20025,11286,"31.12.05",1,2005,4,"2005Q4","2005Q4",2.626,4.677,0.296,16.56,0.247,1.928,-0.395,2.863,4.942,-0.088,0.243,1.817,-0.265,0,0.045,0.55,"",7372,7372,589.4,"http://www.sec.gov/Archives/edgar/data/737300/0001188112-06-000941.txt",737300,"10-K","COVER ALL TECHNOLOGIES INC","31.12.05","31.03.06",2005,11286,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.209,0,"I",0,"http://www.sec.gov/Archives/edgar/data/737300/0001188112-06-000941","http://www.sec.gov/Archives/edgar/data/737300/0001188112-06-000941-index.htm","2006-03-31 16:43:28","16:43:28"
"265",20051,11291,"31.03.05",1,2005,1,"2005Q1","2005Q1",22.089,67.213,16.092,5.351,1.519,9.871,1.222,7.777,27.271,0.818,40.475,6.69,39.942,4.2,0.063,21.57,"",4813,4813,579,"http://www.sec.gov/Archives/edgar/data/104777/0000950152-05-008322.txt",104777,"10-Q","WARWICK VALLEY TELEPHONE CO","31.03.05","21.10.05",2005,11291,"31.03.05",2005,1,"INDL","USD","2005Q1","2005Q1",23,0,0.865,1.15,"I",0.2,"http://www.sec.gov/Archives/edgar/data/104777/0000950152-05-008322","http://www.sec.gov/Archives/edgar/data/104777/0000950152-05-008322-index.htm","2005-10-21 17:13:30","17:13:30"
"266",20136,11310,"31.12.05",1,2006,2,"2005Q4","2006Q2",11.697,26.245,1.095,2.41,2.709,5.974,-1.082,6.515,13.495,-1.012,3.949,5.996,12.75,1.006,0.203,8.05,"",3690,3690,589.4,"http://www.sec.gov/Archives/edgar/data/104987/0001104659-06-009496.txt",104987,"10QSB","ZAREBA SYSTEMS INC","31.12.05","14.02.06",2005,11310,"31.12.05",2006,2,"INDL","USD","2005Q4","2006Q2",NA,0.046,0.183,0,"I",0.08,"http://www.sec.gov/Archives/edgar/data/104987/0001104659-06-009496","http://www.sec.gov/Archives/edgar/data/104987/0001104659-06-009496-index.htm","2006-02-14 16:00:50","16:00:50"
"267",20221,11361,"30.09.05",1,2005,3,"2005Q3","2005Q3",26.686,30.825,1.077,8.643,0,8.063,-0.993,9.658,17.721,-0.708,1.466,14.879,13.104,0,0.114,1.9,"",3575,3575,595.4,"http://www.sec.gov/Archives/edgar/data/105608/0001104659-05-055445.txt",105608,"10-Q","WELLS GARDNER ELECTRONICS CORP","30.09.05","14.11.05",2005,11361,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",NA,0,0.193,0,"A",0,"http://www.sec.gov/Archives/edgar/data/105608/0001104659-05-055445","http://www.sec.gov/Archives/edgar/data/105608/0001104659-05-055445-index.htm","2005-11-14 16:04:32","16:04:32"
"268",20340,11440,"30.06.05",1,2005,2,"2005Q2","2005Q2",109.788,535.779,19.103,8.288,11.93,110.111,-6.299,90.404,488.149,-2.227,171.121,85.464,43.121,0,2.833,20.58,"",1220,1220,582.6,"http://www.sec.gov/Archives/edgar/data/106455/0000106455-05-000060.txt",106455,"10-Q","WESTMORELAND COAL CO","30.06.05","09.08.05",2005,11440,"30.06.05",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,12.315,0,"A",0,"http://www.sec.gov/Archives/edgar/data/106455/0000106455-05-000060","http://www.sec.gov/Archives/edgar/data/106455/0000106455-05-000060-index.htm","2005-08-09 17:00:33","17:00:33"
"269",20378,11450,"30.09.05",1,2005,3,"2005Q3","2005Q3",168.821,1228.987,21.162,88.836,0,398.648,20.069,107.388,525.882,42.826,43.103,134.928,703.105,11.914,4.84,19.89,"",7900,7900,595.4,"http://www.sec.gov/Archives/edgar/data/771950/0000950123-05-013363.txt",771950,"10-Q","WESTWOOD ONE INC /DE/","30.09.05","09.11.05",2005,11450,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",20.04,NA,2.889,120.579,"I",0.1,"http://www.sec.gov/Archives/edgar/data/771950/0000950123-05-013363","http://www.sec.gov/Archives/edgar/data/771950/0000950123-05-013363-index.htm","2005-11-09 16:29:47","16:29:47"
"270",20387,11450,"31.12.07",1,2007,4,"2007Q4","2007Q4",138.154,669.757,6.187,87.397,NA,345.244,8.304,90.86,442.126,25.443,33.012,118.317,227.631,0,5.887,1.99,"",7900,7900,629.174,"http://www.sec.gov/Archives/edgar/data/771950/0001362310-08-001430.txt",771950,"10-K","WESTWOOD ONE INC /DE/","31.12.07","14.03.08",2007,11450,"31.12.07",2007,4,"INDL","USD","2007Q4","2007Q4",0,0,5.849,0,"I",0,"http://www.sec.gov/Archives/edgar/data/771950/0001362310-08-001430","http://www.sec.gov/Archives/edgar/data/771950/0001362310-08-001430-index.htm","2008-03-14 14:28:13","14:28:13"
"271",20426,11462,"31.12.04",1,2004,4,"2004Q4","2004Q4",152.586,311.917,20.826,5.486,224.027,6.027,-129.526,325.33,408.846,-31.015,88.054,84.154,-96.929,2.084,7.87,1.15,"CCC",3330,3330,570.1,"http://www.sec.gov/Archives/edgar/data/106618/0000921895-07-000531.txt",106618,"10-K","WHX CORP","31.12.04","09.03.07",2004,11462,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",0,2.41,9.81,0,"I",0,"http://www.sec.gov/Archives/edgar/data/106618/0000921895-07-000531","http://www.sec.gov/Archives/edgar/data/106618/0000921895-07-000531-index.htm","2007-03-09 16:49:30","16:49:30"
"272",20435,11462,"31.03.07",1,2007,1,"2007Q1","2007Q1",135.832,296.235,3.54,10,56.545,157.254,-8.533,151.521,369.602,3.831,76.345,117.837,-73.367,2.933,7.57,8.5,"",3330,3330,615.145,"http://www.sec.gov/Archives/edgar/data/106618/0000921895-07-001377.txt",106618,"10-Q","WHX CORP","31.03.07","21.06.07",2007,11462,"31.03.07",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,1.003,0,"I",0,"http://www.sec.gov/Archives/edgar/data/106618/0000921895-07-001377","http://www.sec.gov/Archives/edgar/data/106618/0000921895-07-001377-index.htm","2007-06-20 19:49:16","19:49:16"
"273",20530,11511,"31.10.06",1,2006,3,"2006Q3","2006Q3",1010.004,1957.286,108.706,112.848,15.914,13.037,29.142,540.663,821.231,77.178,930.307,852.758,1136.055,10.134,0.524,34.01,"",5700,5700,604.6,"http://www.sec.gov/Archives/edgar/data/719955/0001193125-06-249399.txt",719955,"10-Q","WILLIAMS SONOMA INC","29.10.06","08.12.06",2006,11511,"31.10.06",2006,3,"INDL","USD","2006Q3","2006Q3",29.41,0,144.401,85.438,"A",0.1,"http://www.sec.gov/Archives/edgar/data/719955/0001193125-06-249399","http://www.sec.gov/Archives/edgar/data/719955/0001193125-06-249399-index.htm","2006-12-08 13:25:59","13:25:59"
"274",20555,11535,"31.12.04",1,2005,2,"2004Q4","2005Q2",1200.966,2235.557,51.027,142.168,3.013,464.539,-271.801,865.594,1870.785,25.899,878.787,2301.137,364.772,0,11.78,4.55,"B-",5411,5411,570.1,"http://www.sec.gov/Archives/edgar/data/107681/0001193125-05-024135.txt",107681,"10-Q","WINN DIXIE STORES INC","12.01.05","10.02.05",2004,11535,"31.12.04",2005,2,"INDL","USD","2004Q4","2005Q2",NA,0,84.069,0,"I",0,"http://www.sec.gov/Archives/edgar/data/107681/0001193125-05-024135","http://www.sec.gov/Archives/edgar/data/107681/0001193125-05-024135-index.htm","2005-02-10 07:06:37","07:06:37"
"275",20759,11644,"31.03.05",1,2005,1,"2005Q1","2005Q1",379.841,1315.214,105.931,130.791,5.751,480.424,8.365,136.576,804.146,55.808,585.085,271.204,511.068,109.205,13.467,11.47,"B-",1381,1381,579,"http://www.sec.gov/Archives/edgar/data/318996/0001104659-07-061554.txt",318996,"10-Q","KEY ENERGY SERVICES INC","31.03.05","13.08.07",2005,11644,"31.03.05",2005,1,"INDL","USD","2005Q1","2005Q1",NA,0,14.921,0,"A",0,"http://www.sec.gov/Archives/edgar/data/318996/0001104659-07-061554","http://www.sec.gov/Archives/edgar/data/318996/0001104659-07-061554-index.htm","2007-08-13 06:10:29","06:10:29"
"276",20816,11667,"30.06.06",1,2006,1,"2006Q2","2006Q1",1.009,1.546,0.028,3.825,0.245,0.001,-0.229,0.839,0.923,-0.182,0.088,0.682,0.623,0,NA,0.32,"",7812,3575,607.8,"http://www.sec.gov/Archives/edgar/data/723928/0000950134-06-016044.txt",723928,"10QSB","Z AXIS CORP","30.06.06","14.08.06",2006,11667,"30.06.06",2006,1,"INDL","USD","2006Q2","2006Q1",NA,0,0.002,0,"I",0,"http://www.sec.gov/Archives/edgar/data/723928/0000950134-06-016044","http://www.sec.gov/Archives/edgar/data/723928/0000950134-06-016044-index.htm","2006-08-14 15:58:01","15:58:01"
"277",20844,11670,"31.12.05",1,2005,4,"2005Q4","2005Q4",176.717,294.354,103.373,19.15,2.443,27.658,-0.973,22.282,62.733,2.085,94.624,27.137,171.684,0,0.41,5.77,"",2070,3690,589.4,"http://www.sec.gov/Archives/edgar/data/109177/0000950123-06-004269.txt",109177,"10-K","ZAPATA CORP","31.12.05","05.04.06",2005,11670,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,17.59,0,"A",0,"http://www.sec.gov/Archives/edgar/data/109177/0000950123-06-004269","http://www.sec.gov/Archives/edgar/data/109177/0000950123-06-004269-index.htm","2006-04-05 16:53:26","16:53:26"
"278",20907,11721,"31.03.07",1,2007,2,"2007Q1","2007Q2",2053,6263.1,46.8,74.057,153.4,3014.2,50.9,1525.4,5089.3,171.9,423.5,1660.7,1169.9,431.1,63.1,53,"BB",3711,3711,615.145,"http://www.sec.gov/Archives/edgar/data/775158/0000897069-07-001093.txt",775158,"10-Q","OSHKOSH TRUCK CORP","31.03.07","03.05.07",2007,11721,"31.03.07",2007,2,"INDL","USD","2007Q1","2007Q2",0,3140.4,40.8,0,"A",0.1,"http://www.sec.gov/Archives/edgar/data/775158/0000897069-07-001093","http://www.sec.gov/Archives/edgar/data/775158/0000897069-07-001093-index.htm","2007-05-03 17:22:02","17:22:02"
