"","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq"
"2473",2251,"31.12.2005",1,2005,4,"2005Q4","2005Q4",5.734,6.212,1.452,9.906,0.289,0.325,-0.539,1.461,1.786,-0.215,0.406,3.064,4.426,0,0.013,1.35,"",3821,3821,589.4,"http://www.sec.gov/Archives/edgar/data/723889/0001104659-06-020584.txt",723889,"10-K","MFIC CORP","31.12.05","30.03.06",2005,2251,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.096,0,"I",0
"2480",2251,"30.09.2007",1,2007,3,"2007Q3","2007Q3",6.361,6.762,1.168,10.207,0.13,0,-0.86,1.931,1.931,-0.829,0.339,2.312,4.831,0,0.006,1.23,"",3821,3821,624.543,"http://www.sec.gov/Archives/edgar/data/723889/0001047469-07-009125.txt",723889,"10-Q","MFIC CORP","30.09.07","13.11.07",2007,2251,"30.09.2007",2007,3,"INDL","USD","2007Q3","2007Q3",NA,0,0.146,NA,"I",0
"2508",2259,"31.12.2005",1,2005,4,"2005Q4","2005Q4",541.968,2119.96,34.198,33.156,66.771,670.193,26.007,470.623,1376.156,73.63,1435.398,179.728,738.879,137.584,12.212,34.61,"BBB-",4911,4911,589.4,"http://www.sec.gov/Archives/edgar/data/1130464/0001130464-06-000172.txt",1130464,"10-K","BLACK HILLS CORP /SD/","31.12.05","16.03.06",2005,2259,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",34.96,65.118,138.628,0,"A",0.32
"2545",2269,"31.01.2007",1,2006,3,"2006Q4","2006Q3",5507.279,9359.978,1515.19,322.82,3438.754,416.183,21.944,7070.259,7829.804,69.81,392.706,931.179,1530.174,0,12.066,24.6,"BBB+",7200,7200,606.348,"http://www.sec.gov/Archives/edgar/data/12659/0000950137-07-003740.txt",12659,"10-Q","H&R BLOCK INC","31.01.07","14.03.07",2007,2269,"31.01.2007",2006,3,"INDL","USD","2006Q4","2006Q3",23.25,24.67,129.905,188.562,"A",0
"2559",2270,"30.06.2006",1,2006,2,"2006Q2","2006Q2",725.8,3922.2,309.8,153.4,17.2,466.9,194,230,1064.2,318.3,2823.2,475.2,2858,333.9,9.5,46.02,"BBB+",1381,1381,607.8,"http://www.sec.gov/Archives/edgar/data/314808/0000314808-06-000059.txt",314808,"10-Q","ENSCO INTERNATIONAL INC","30.06.06","25.07.06",2006,2270,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",47.94,0,283.8,52.2,"A",0.025
"2655",2299,"30.11.2005",1,2005,4,"2005Q4","2005Q4",18.203,39.998,3.615,48.803,2.631,1.32,-13.146,7.217,9.994,-0.676,5.508,9.187,29.763,0,0.047,1.04,"",3845,3845,592,"http://www.sec.gov/Archives/edgar/data/719722/0001193125-06-041291.txt",719722,"10-K","CARDIODYNAMICS INTERNATIONAL CORP","30.11.05","28.02.06",2005,2299,"30.11.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0.056,1.244,0,"I",0
"2720",2340,"30.09.2005",1,2005,3,"2005Q3","2005Q3",4.924,10.248,0.869,7.651,1.512,1.678,-0.746,3.819,5.497,-0.625,2.391,3.578,4.751,0,0.105,0.2,"",1700,1700,595.4,"http://www.sec.gov/Archives/edgar/data/13547/0001144204-05-035511.txt",13547,"10QSB","ENTRX CORP","30.09.05","14.11.05",2005,2340,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,0,0.188,0,"I",0
"2769",2346,"31.12.2005",1,2005,4,"2005Q4","2005Q4",370.407,563.248,187.514,32.071,0.452,76.078,-7.093,139.101,251.475,7.16,108.26,157.045,311.773,0,1.366,14.84,"B+",2750,2750,589.4,"http://www.sec.gov/Archives/edgar/data/13610/0000950123-06-004456.txt",13610,"10-K","BOWNE & CO INC","31.12.05","10.04.06",2005,2346,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",14.12,0,40.25,33.97,"I",0.055
"2846",2403,"30.09.2005",1,2005,3,"2005Q3","2005Q3",10145,25609,3781,1957,277,5895,964,6622,14341,1197,5649,4767,11268,0,79,24.06,"A+",2834,2834,595.4,"http://www.sec.gov/Archives/edgar/data/14272/0001193125-05-214797.txt",14272,"10-Q","BRISTOL MYERS SQUIBB CO","30.09.05","03.11.05",2005,2403,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",25.09,0,537,0,"A",0.28
"2996",2504,"31.12.2004",1,2004,4,"2004Q4","2004Q4",2417.6,5620.9,660.5,337.4,152.7,898.4,-34.9,2022.8,4077.3,83.7,424.1,1524,1506.5,0,17.6,10.18,"BB+",7373,7373,570.1,"http://www.sec.gov/Archives/edgar/data/746838/0001193125-05-032226.txt",746838,"10-K","UNISYS CORP","31.12.04","18.02.05",2004,2504,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,19.4,137,0,"A",0
"3029",2521,"31.12.2004",1,2004,4,"2004Q4","2004Q4",28.288,56.596,1.146,16.279,19.791,35.628,-2.362,41.546,81.849,NA,9.374,17.357,-25.583,0.46,2.146,0.36,"",3490,3490,570.1,"http://www.sec.gov/Archives/edgar/data/1003429/0001003429-05-000009.txt",1003429,"10-K","REUNION INDUSTRIES INC","31.12.04","15.04.05",2004,2521,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,0.78,0,"A",0
"3128",2561,"30.09.2005",1,2005,2,"2005Q3","2005Q2",37.729,55.932,6.7,4.947,6.286,0.725,-0.213,14.301,19.317,0.494,14.157,21.457,36.382,0.212,0.124,5,"",2842,2842,595.4,"http://www.sec.gov/Archives/edgar/data/351717/0000351717-05-000045.txt",351717,"10-Q","CPAC INC","30.09.05","14.11.05",2005,2561,"30.09.2005",2005,2,"INDL","USD","2005Q3","2005Q2",NA,0,0.155,0,"I",0.07
"3204",2589,"30.09.2004",1,2004,3,"2004Q3","2004Q3",77.427,300.582,6.385,20.696,3.397,107.04,1.242,33.391,162.713,12.578,27.516,46.432,128.793,21.003,2.38,7.22,"BB-",3790,8093,568.7,"http://www.sec.gov/Archives/edgar/data/1018871/0001193125-04-189189.txt",1018871,"10-Q","HEALTHTRONICS SURGICAL SERVICES INC","30.09.04","08.11.04",2004,2589,"30.09.2004",2004,3,"INDL","USD","2004Q3","2004Q3",NA,-3.155,6.403,0,"I",0
"3276",2602,"30.06.2006",1,2006,4,"2006Q2","2006Q4",93.941,364.804,0.108,9.178,2.555,196.65,-2.274,62.466,303.548,6.808,128.393,113.35,61.256,0,4.052,17.48,"BB-",2721,2721,607.8,"http://www.sec.gov/Archives/edgar/data/745274/0001193125-06-190025.txt",745274,"10-K","CADMUS COMMUNICATIONS CORP/NEW","30.06.06","13.09.06",2006,2602,"30.06.2006",2006,4,"INDL","USD","2006Q2","2006Q4",18.02,2.76,58.233,3.464,"I",0.0625
"3280",2606,"31.03.2004",1,2003,4,"2004Q1","2003Q4",33.727,100.019,0.011,4.743,2.921,34.552,10.857,30.2,65.752,1.664,44.224,64.077,34.267,0,0.964,8.7,"",2015,2015,561.5,"http://www.sec.gov/Archives/edgar/data/16104/0000016104-04-000017.txt",16104,"10-K","CAGLES INC","03.04.04","24.06.04",2004,2606,"31.03.2004",2003,4,"INDL","USD","2004Q1","2003Q4",NA,0,0.411,0,"I",0
"3309",2615,"31.05.2007",1,2007,1,"2007Q2","2007Q1",75.84,227.313,11.138,23.607,33.519,0,-10.945,77.705,86.087,-14.261,6.572,46.393,141.226,0,0.444,4.48,"",3663,3663,622.921,"http://www.sec.gov/Archives/edgar/data/730255/0000730255-07-000017.txt",730255,"10-Q","CalAmp Corp.","02.06.07","17.07.07",2007,2615,"31.05.2007",2007,1,"INDL","USD","2007Q2","2007Q1",NA,27.311,0.516,0,"A",0
"3513",2817,"31.12.2004",1,2004,4,"2004Q4","2004Q4",21013,43091,445,342.937,7688,15837,551,16210,35624,1179,7682,8584,7467,23,208,97.51,"A",3531,3531,570.1,"http://www.sec.gov/Archives/edgar/data/18230/0000018230-05-000218.txt",18230,"10-K","CATERPILLAR INC","22.02.05","24.02.05",2004,2817,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",84.8,NA,2114,539,"A",0.41
"3605",2845,"30.06.2007",1,2007,1,"2007Q2","2007Q1",NA,12444.978,380.264,120.883,1924.346,3381.562,-132.081,NA,7503.994,-146.404,126.453,1901.786,4793.303,0,82.351,40.1,"BBB",1531,1531,624.129,"http://www.sec.gov/Archives/edgar/data/18532/0000950134-07-016300.txt",18532,"10-Q","CENTEX CORP","30.06.07","01.08.07",2007,2845,"30.06.2007",2007,1,"INDL","USD","2007Q2","2007Q1",40.07,0,2.498,0.252,"I",0.04
"3647",2870,"30.06.2005",1,2005,2,"2005Q2","2005Q2",112.856,533.594,67.177,12.275,1.02,133.339,2.634,39.924,305.14,10.427,297.878,75.116,228.454,29.445,2.09,18.5,"BB+",4911,4911,582.6,"http://www.sec.gov/Archives/edgar/data/18808/0000018808-05-000071.txt",18808,"10-Q","CENTRAL VERMONT PUBLIC SERVICE CORP","30.06.05","08.08.05",2005,2870,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,7.321,2,"I",0.23
"3723",2903,"31.03.2006",1,2005,4,"2006Q1","2005Q4",11.763,14.356,0.935,10.158,0.007,0.004,-0.46,1.957,1.961,-0.683,0.95,5.177,12.395,0,NA,2.75,"",3842,9995,598.6,"http://www.sec.gov/Archives/edgar/data/713492/0000950129-06-006839.txt",713492,"10-K","CHAD THERAPEUTICS INC","31.03.06","29.06.06",2006,2903,"31.03.2006",2005,4,"INDL","USD","2006Q1","2005Q4",NA,0,0.175,0,"I",0
"3766",2918,"30.06.2006",1,2006,2,"2006Q2","2006Q2",21.696,23.923,0.255,3.655,0.111,8.77,0.093,14.279,23.049,0.356,1.841,4.533,0.874,0,0.14,0.9,"",3714,3714,607.8,"http://www.sec.gov/Archives/edgar/data/19161/0000019161-06-000019.txt",19161,"10-Q","CHAMPION PARTS INC","02.07.06","16.08.06",2006,2918,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,0.03,0,"I",0
"3819",2942,"30.04.2005",1,2005,3,"2005Q1","2005Q3",84.143,157.358,24.651,14.957,4.5,12,3.809,28.536,53.978,7.874,23.096,50.534,103.38,10.202,0.353,26.61,"",5047,3845,582.9,"http://www.sec.gov/Archives/edgar/data/19446/0001104659-05-027567.txt",19446,"10-Q","CANTEL MEDICAL CORP","30.04.05","09.06.05",2005,2942,"30.04.2005",2005,3,"INDL","USD","2005Q1","2005Q3",NA,0,2.528,0,"A",0
"3824",2942,"31.07.2006",1,2006,4,"2006Q2","2006Q4",82.448,238.227,29.898,15.399,4.748,34.638,0.922,39.097,97.422,5.135,38.104,50.14,140.805,22.021,0.956,14.38,"",5047,3845,609.6,"http://www.sec.gov/Archives/edgar/data/19446/0001104659-06-066838.txt",19446,"10-K","CANTEL MEDICAL CORP","31.07.06","16.10.06",2006,2942,"31.07.2006",2006,4,"INDL","USD","2006Q2","2006Q4",13.87,71.134,6.069,4.256,"A",0
"4016",3026,"31.12.2005",1,2005,4,"2005Q4","2005Q4",494.438,1962.117,126.678,64.389,121.282,635.261,16.227,409.71,1264.981,50.305,326.903,431.274,696.878,124.882,11.957,33.03,"BB",2840,2840,589.4,"http://www.sec.gov/Archives/edgar/data/313927/0001193125-06-052189.txt",313927,"10-K","CHURCH & DWIGHT CO INC /DE/","31.12.05","13.03.06",2005,3026,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,83.54,37.737,0,"A",0.06
"4047",3031,"30.06.2005",1,2005,2,"2005Q2","2005Q2",8.321,9.073,0.723,41.343,1.284,2.775,-0.169,6.136,10.834,-0.025,0.732,5.782,-1.761,0,0.053,0.42,"",3663,3663,582.6,"http://www.sec.gov/Archives/edgar/data/20232/0000020232-05-000065.txt",20232,"10-Q","CHYRON CORP","30.06.05","12.08.05",2005,3031,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,0.158,0,"I",0
"4079",3041,"31.12.2004",1,2004,4,"2004Q4","2004Q4",406.8,739.9,69.2,48.6,17.2,235.9,-1.9,213.4,689.5,14.1,128.4,213,50.4,11.4,8.1,3.39,"B-",3559,3559,570.1,"http://www.sec.gov/Archives/edgar/data/716823/0000950152-05-002759.txt",716823,"10-K","MILACRON INC","31.12.04","30.03.05",2004,3041,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",2.97,0,8.8,0,"I",0
"4220",3107,"31.12.2006",1,2006,4,"2006Q4","2006Q4",782.3,1939.7,351.7,40.905,0,0,70,374.9,935.8,108.9,884.9,552.1,918.1,117.9,0.8,48.44,"",1000,1000,604.5,"http://www.sec.gov/Archives/edgar/data/764065/0001193125-07-123585.txt",764065,"10-K","CLEVELAND CLIFFS INC","31.12.06","25.05.07",2006,3107,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",44.57,0,132.9,121.5,"A",0.125
"4233",3116,"31.12.2005",1,2005,3,"2005Q4","2005Q3",48.409,120.572,13.607,7.968,6.333,8.118,-42.718,37.14,58.297,0.431,12.675,19.901,62.168,12.849,0.22,17.5,"",3826,2836,589.4,"http://www.sec.gov/Archives/edgar/data/716646/0000950135-06-000846.txt",716646,"10-Q","CLINICAL DATA INC","31.12.05","14.02.06",2005,3116,"31.12.2005",2005,3,"INDL","USD","2005Q4","2005Q3",NA,1.003,0.479,0,"I",0
